Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
1,1,4,14,4480,0.9976765017838202,0.9811779634133446,0.9812282865218478,0.9811779634133446,1.0,2.67911958694458,3382,5897,103,75
2,1,4,15,4800,0.9977520971940987,0.9801205456275774,0.9802184591916888,0.9801205456275774,1.0,2.940072536468506,3385,5884,116,72
3,1,4,16,5120,0.998029119660592,0.9817066723062282,0.9818377361403623,0.9817066723062282,1.0,3.3029062747955322,3398,5886,114,59
4,1,5,14,2688,0.9963825089191013,0.975467907370202,0.9755921883865669,0.975467907370202,1.0,1.7292351722717285,3365,5860,140,92
5,1,5,15,2880,0.9961904830778132,0.9751506820344719,0.975353948687743,0.9751506820344719,1.0,1.895820140838623,3373,5849,151,84
6,1,5,16,3072,0.9967304502940894,0.9766310669345458,0.9767630856598034,0.9766310669345458,1.0,2.037191867828369,3372,5864,136,85
7,1,6,14,1820,0.9975795969530422,0.977688484720313,0.9777960844225857,0.977688484720313,1.0,1.1858446598052979,3374,5872,128,83
8,1,6,15,1950,0.9973351653649599,0.9767368087131225,0.9768575176417027,0.9767368087131225,1.0,1.2891278266906738,3371,5866,134,86
9,1,6,16,2080,0.9977354642753834,0.9793803531775405,0.9794705814916421,0.9793803531775405,1.0,1.3638348579406738,3380,5882,118,77
10,1,7,14,1386,0.9958585478738792,0.972084170455747,0.9722853763560394,0.972084170455747,1.0,0.9282543659210205,3357,5836,164,100
11,1,7,15,1485,0.9959673609102304,0.9717669451200169,0.9719557723339318,0.9717669451200169,1.0,0.9670810699462891,3354,5836,164,103
12,1,7,16,1584,0.9962924501012438,0.9736702971343978,0.973843792186844,0.9736702971343978,1.0,1.212613821029663,3362,5846,154,95
13,1,8,14,1120,0.9962203259087841,0.9738817806915512,0.9740718935281423,0.9738817806915512,1.0,0.7554199695587158,3365,5845,155,92
14,1,8,15,1200,0.9958452415389065,0.9707095273342498,0.9710229510053958,0.9707095273342498,1.0,0.7594268321990967,3361,5819,181,96
15,1,8,16,1280,0.9966726448751326,0.974727714920165,0.9749803895878631,0.974727714920165,1.0,0.8544003963470459,3376,5842,158,81
16,1,9,14,784,0.9918164593578246,0.9565401290049699,0.9572395751865961,0.9565401290049699,0.9978333333333333,0.5372850894927979,3316,5730,270,141
17,1,9,15,840,0.9915536110307589,0.9535793592048218,0.954419552995663,0.9535793592048218,0.9981666666666666,0.5589885711669922,3309,5709,291,148
18,1,9,16,896,0.9924938289460996,0.9589721899122343,0.9595389094494039,0.9589721899122343,0.9991666666666666,0.5706050395965576,3320,5749,251,137
19,1,10,14,672,0.9949247420692315,0.9670085650840647,0.9674701704272504,0.9670085650840647,0.9951666666666666,0.45905208587646484,3354,5791,209,103
20,1,10,15,720,0.9947656445858645,0.9672200486412181,0.9678834529985079,0.9672200486412181,0.9978333333333333,0.47043395042419434,3369,5778,222,88
21,1,10,16,768,0.9949393501108862,0.9670085650840647,0.9676119778810801,0.9670085650840647,0.9976666666666667,0.49870944023132324,3364,5781,219,93
22,1,14,14,280,0.9905060264198244,0.9578090303478904,0.9589557859185909,0.9578090303478904,0.9715,0.18294978141784668,3347,5711,289,110
23,1,14,15,300,0.9893562337286664,0.9525219414190547,0.9539110314131423,0.9525219414190547,0.9726666666666667,0.1736743450164795,3331,5677,323,126
24,1,14,16,320,0.99106146948221,0.9555884529977794,0.9567454927111634,0.9555884529977794,0.9755,0.20143437385559082,3336,5701,299,121
25,2,4,14,15960,0.9992561469482211,0.9887913714708682,0.988866826168109,0.9887913714708682,1.0,10.087984800338745,3426,5925,75,31
26,2,4,15,17100,0.9991791051971843,0.9879454372422544,0.987988620955002,0.9879454372422544,1.0,13.018751382827759,3415,5928,72,42
27,2,4,16,18240,0.9992300646032206,0.9881569207994079,0.9882340188283709,0.9881569207994079,1.0,13.452853202819824,3423,5922,78,34
28,2,5,14,9240,0.9989336129592132,0.9856191181135666,0.9856861173143544,0.9856191181135666,1.0,6.712526321411133,3408,5913,87,49
29,2,5,15,9900,0.9989254170282519,0.9863593105636037,0.9864439623831335,0.9863593105636037,1.0,7.944230318069458,3415,5913,87,42
30,2,5,16,10560,0.9988900781024009,0.9855133763349899,0.9855887607877563,0.9855133763349899,1.0,7.774299144744873,3409,5911,89,48
31,2,6,14,6048,0.9993112043197379,0.9865707941207571,0.9866491607250006,0.9865707941207571,1.0,4.4579174518585205,3415,5915,85,42
32,2,6,15,6480,0.999212949570919,0.9872052447922174,0.9872661488751349,0.9872052447922174,1.0,4.721993446350098,3415,5921,79,42
33,2,6,16,6912,0.9993147237489153,0.9879454372422544,0.9880287456453279,0.9879454372422544,1.0,5.018801927566528,3423,5920,80,34
34,2,7,14,4480,0.9988080223700704,0.9870995030136407,0.9871793399288074,0.9870995030136407,1.0,3.257805109024048,3418,5917,83,39
35,2,7,15,4800,0.9987201330633497,0.9848789256635296,0.9849347487299687,0.9848789256635296,1.0,3.685979127883911,3402,5912,88,55
36,2,7,16,5120,0.9988892102979462,0.986253568785027,0.9863191407969125,0.986253568785027,1.0,4.199912071228027,3411,5916,84,46
37,2,8,14,3528,0.9988312602449136,0.9845617003277995,0.9846310781767578,0.9845617003277995,1.0,2.8313241004943848,3403,5908,92,54
38,2,8,15,3780,0.9987846398611514,0.9831870572063022,0.9832995216120687,0.9831870572063022,1.0,2.8062379360198975,3403,5895,105,54
39,2,8,16,4032,0.9988348278854499,0.9838215078777625,0.9839254961208019,0.9838215078777625,1.0,2.980616807937622,3405,5899,101,52
40,2,9,14,2352,0.9972646321473341,0.9756793909273554,0.9759229573693464,0.9756793909273554,1.0,1.7483439445495605,3380,5847,153,77
41,2,9,15,2520,0.9967118889210298,0.9733530717986677,0.9736483680991899,0.9733530717986677,1.0,1.766376256942749,3373,5832,168,84
42,2,9,16,2688,0.9971615562626555,0.975467907370202,0.9756566019316755,0.975467907370202,1.0,1.9035205841064453,3373,5852,148,84
43,2,10,14,1960,0.9986676791051973,0.9827640900919954,0.9829140517021515,0.9827640900919954,1.0,1.3806133270263672,3406,5888,112,51
44,2,10,15,2100,0.9984495709189085,0.981389446970498,0.9815814249501762,0.981389446970498,1.0,1.4429044723510742,3404,5877,123,53
45,2,10,16,2240,0.9984253688168933,0.9812837051919213,0.9814388987102758,0.9812837051919213,1.0,1.8512799739837646,3399,5881,119,58
46,2,14,14,672,0.9954928647189277,0.969123400655599,0.9697272329501676,0.969123400655599,0.9801666666666666,0.5169687271118164,3375,5790,210,82
47,2,14,15,720,0.9952110693279337,0.9652109548482606,0.9661007894864659,0.9652109548482606,0.9801666666666666,0.5644054412841797,3372,5756,244,85
48,2,14,16,768,0.9954783048886318,0.9677487575341017,0.968416184035707,0.9677487575341017,0.9826666666666667,0.5842773914337158,3372,5780,220,85
49,3,4,14,31752,0.9994660109921897,0.9904832399280956,0.9905142952227064,0.9904832399280956,1.0,23.45635199546814,3425,5942,58,32
50,3,4,15,34020,0.9994327451547583,0.9896373056994818,0.9896563466819739,0.9896373056994818,1.0,25.173936128616333,3417,5942,58,40
51,3,4,16,36288,0.9994674573329476,0.9890028550280215,0.9890528233184331,0.9890028550280215,1.0,27.070338249206543,3422,5931,69,35
52,3,5,14,17640,0.9991485874071931,0.9851961509992598,0.9853194992509268,0.9851961509992598,1.0,13.120835304260254,3415,5902,98,42
53,3,5,15,18900,0.9990975315784398,0.9855133763349899,0.9856002669723483,0.9855133763349899,1.0,13.980145931243896,3411,5909,91,46
54,3,5,16,20160,0.9990771863851123,0.9848789256635296,0.9849998238207629,0.9848789256635296,1.0,13.056533575057983,3413,5901,99,44
55,3,6,14,11088,0.9992371998842926,0.9866765358993338,0.9867754368043639,0.9866765358993338,1.0,7.243988513946533,3419,5912,88,38
56,3,6,15,11880,0.9991623758557516,0.9865707941207571,0.9866548862358296,0.9865707941207571,1.0,8.638072967529297,3416,5914,86,41
57,3,6,16,12672,0.9992711406807444,0.9867822776779105,0.9869038804787132,0.9867822776779105,1.0,8.805373907089233,3423,5909,91,34
58,3,7,14,7938,0.9987432263041173,0.984350216770646,0.984449493172517,0.984350216770646,1.0,7.649904251098633,3407,5902,98,50
59,3,7,15,8505,0.9986516729341433,0.9823411229776885,0.9824427943492537,0.9823411229776885,1.0,6.363066911697388,3397,5893,107,60
60,3,7,16,9072,0.9988650564072896,0.9845617003277995,0.9846667911858182,0.9845617003277995,1.0,6.903444290161133,3409,5902,98,48
61,3,8,14,6048,0.9985451258316459,0.9828698318705721,0.9829936186422831,0.9828698318705721,1.0,4.4932777881622314,3403,5892,108,54
62,3,8,15,6480,0.9983885353389259,0.9807549962990377,0.9809160411041922,0.9807549962990377,1.0,5.247179985046387,3397,5878,122,60
63,3,8,16,6912,0.9984853437469867,0.9825526065348419,0.9826411538517317,0.9825526065348419,1.0,4.920489072799683,3396,5896,104,61
64,3,9,14,3780,0.9967520489827403,0.9727186211272073,0.9732262906236925,0.9727186211272073,0.9993333333333333,2.6505064964294434,3387,5812,188,70
65,3,9,15,4050,0.9962541220711599,0.97102675266998,0.9713222110385857,0.97102675266998,0.9996666666666667,2.7411625385284424,3361,5822,178,96
66,3,9,16,4320,0.9967220133063349,0.9719784286771703,0.9723917530216449,0.9719784286771703,0.9996666666666667,3.0471303462982178,3376,5816,184,81
67,3,10,14,3024,0.9985246842156013,0.9809664798561912,0.9811689573299827,0.9809664798561912,0.9996666666666667,1.8771986961364746,3403,5874,126,54
68,3,10,15,3240,0.9984771478160255,0.9814951887490747,0.981682438091724,0.9814951887490747,0.9996666666666667,2.011286735534668,3404,5878,122,53
69,3,10,16,3456,0.9982724905987851,0.9801205456275774,0.9802838672908235,0.9801205456275774,0.9998333333333334,2.237222909927368,3394,5875,125,63
70,3,14,14,756,0.9949590685565519,0.9637305699481865,0.9646147461962147,0.9637305699481865,0.9773333333333334,0.5225315093994141,3364,5750,250,93
71,3,14,15,810,0.9945637354160641,0.9629903774981495,0.9639635597683096,0.9629903774981495,0.9738333333333333,0.5499324798583984,3365,5742,258,92
72,3,14,16,864,0.9949192941857101,0.9626731521624193,0.9637949579306179,0.9626731521624193,0.9763333333333334,0.5814099311828613,3371,5733,267,86
73,4,4,14,49504,0.9994375662906181,0.9897430474780586,0.9898031984740898,0.9897430474780586,1.0,36.52596402168274,3428,5932,68,29
74,4,4,15,53040,0.9994159193906085,0.9886856296922915,0.988721414519166,0.9886856296922915,1.0,40.89986205101013,3417,5933,67,40
75,4,4,16,56576,0.9994554527046573,0.9887913714708682,0.988866826168109,0.9887913714708682,1.0,40.12679958343506,3426,5925,75,31
76,4,5,14,26208,0.9990447883521358,0.9838215078777625,0.9839529252090815,0.9838215078777625,1.0,17.73445200920105,3409,5895,105,48
77,4,5,15,28080,0.9989957574004436,0.984032991434916,0.9841299948880228,0.984032991434916,1.0,19.540143489837646,3405,5901,99,52
78,4,5,16,29952,0.9990007713817376,0.9850904092206831,0.9851725266137963,0.9850904092206831,1.0,20.361746072769165,3408,5908,92,49
79,4,6,14,15680,0.9990119082055733,0.9849846674421063,0.9851230747606541,0.9849846674421063,1.0,10.232148170471191,3416,5899,101,41
80,4,6,15,16800,0.9989928647189277,0.9845617003277995,0.9846871167383558,0.9845617003277995,1.0,10.763739347457886,3412,5899,101,45
81,4,6,16,17920,0.9990618069617203,0.9855133763349899,0.9856254802327916,0.9855133763349899,1.0,12.315303564071655,3415,5905,95,42
