Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
1,1,4,6,1920,0.996011811782856,0.9744104895844348,0.9744721342933945,0.9744104895844348,1.0,0.388716459274292,3350,5865,135,107
2,1,4,7,2240,0.9966325812361391,0.9765253251559691,0.9765585980724888,0.9765253251559691,1.0,1.428725004196167,3355,5880,120,102
3,1,4,8,2560,0.9973288978883427,0.9786401607275035,0.9786800290836405,0.9786401607275035,1.0,0.4741332530975342,3367,5888,112,90
4,1,4,9,2880,0.9969366984861633,0.9783229353917733,0.9783609133671667,0.9783229353917733,1.0,0.5188570022583008,3365,5887,113,92
5,1,4,10,3200,0.997585816218301,0.9803320291847308,0.9803741808925008,0.9803320291847308,1.0,0.6400928497314453,3376,5895,105,81
6,1,4,11,3520,0.9973933082634268,0.980649254520461,0.9807080753716548,0.980649254520461,1.0,2.264566659927368,3381,5893,107,76
7,1,4,12,3840,0.9978726255905892,0.9807549962990377,0.9808162446069519,0.9807549962990377,1.0,0.7275443077087402,3382,5893,107,75
8,1,5,6,1152,0.9937323787484331,0.9640477952839167,0.9644867388224388,0.9640477952839167,1.0,0.2636094093322754,3337,5780,220,120
9,1,5,7,1344,0.9945843698775432,0.9644707623982235,0.9648320699936739,0.9644707623982235,1.0,0.27027249336242676,3333,5788,212,124
10,1,5,8,1536,0.9949456657988622,0.9711324944485566,0.9713608584443192,0.9711324944485566,1.0,0.27355241775512695,3355,5829,171,102
11,1,5,9,1728,0.9954213672741297,0.9718726868985936,0.9721535543827201,0.9718726868985936,1.0,0.34984540939331055,3364,5827,173,93
12,1,5,10,1920,0.9960280590107028,0.9731415882415142,0.9733299553437682,0.9731415882415142,1.0,0.42537689208984375,3361,5842,158,96
13,1,5,11,2112,0.9956466107414907,0.97134397800571,0.9715433364474997,0.97134397800571,1.0,0.4167616367340088,3353,5833,167,104
14,1,5,12,2304,0.9964248384919487,0.9753621655916253,0.975538286742773,0.9753621655916253,1.0,0.46080446243286133,3371,5853,147,86
15,1,6,6,780,0.9944371805997493,0.9670085650840647,0.9671912005572226,0.9670085650840647,0.9995,0.16340231895446777,3329,5816,184,128
16,1,6,7,910,0.9950134027576898,0.9681717246484086,0.9683732579250908,0.9681717246484086,1.0,0.1625688076019287,3337,5819,181,120
17,1,6,8,1040,0.9961969433998651,0.9727186211272073,0.972858375721963,0.9727186211272073,1.0,0.19002580642700195,3353,5846,154,104
18,1,6,9,1170,0.9961359078198824,0.9709210108914031,0.9711406034758467,0.9709210108914031,1.0,0.2109832763671875,3353,5829,171,104
19,1,6,10,1300,0.9967898948992383,0.973987522470128,0.9741159709222421,0.973987522470128,1.0,0.2534921169281006,3358,5853,147,99
20,1,6,11,1430,0.9969775817182528,0.9766310669345458,0.9766760454151506,0.9766310669345458,1.0,0.2570457458496094,3358,5878,122,99
21,1,6,12,1560,0.9973218108186289,0.9768425504916993,0.9769665757778362,0.9768425504916993,1.0,0.3120098114013672,3372,5866,134,85
22,1,7,6,594,0.9920294089287437,0.9628846357195728,0.9632848466167808,0.9628846357195728,0.9943333333333333,0.1685497760772705,3328,5778,222,129
23,1,7,7,693,0.9925288303924403,0.9595008988051179,0.9600716924703365,0.9595008988051179,0.9983333333333333,0.21741175651550293,3323,5751,249,134
24,1,7,8,792,0.9935468614405554,0.9633076028338796,0.9636448500008882,0.9633076028338796,0.9995,0.14529728889465332,3325,5785,215,132
25,1,7,9,891,0.9930649889113875,0.9614042508194988,0.961812199059856,0.9614042508194988,0.9998333333333334,0.16356301307678223,3321,5771,229,136
26,1,7,10,990,0.9942451547584611,0.9660568890768743,0.966256457936381,0.9660568890768743,1.0,0.17052984237670898,3326,5810,190,131
27,1,7,11,1089,0.994589865972423,0.9672200486412181,0.9674392395910623,0.9672200486412181,1.0,0.1830158233642578,3334,5813,187,123
28,1,7,12,1188,0.9958982258220037,0.9706037855556731,0.9708591270425728,0.9706037855556731,1.0,0.23839855194091797,3355,5824,176,102
29,1,8,6,480,0.9925954102786617,0.9626731521624193,0.9629245803126493,0.9626731521624193,0.9853333333333333,0.06783843040466309,3314,5790,210,143
30,1,8,7,560,0.9933328994311059,0.9663741144126045,0.9667259635708347,0.9663741144126045,0.9903333333333333,0.10864520072937012,3342,5797,203,115
31,1,8,8,640,0.9946072220615179,0.9682774664269853,0.9684927475834487,0.9682774664269853,0.9951666666666666,0.10574531555175781,3339,5818,182,118
