Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s)
1,1,4,6,1920,0.996011811782856,0.9744104895844348,0.9744721342933945,0.9744104895844348,1.0,0.3480339050292969
2,1,4,8,2560,0.9973288978883427,0.9786401607275035,0.9786800290836405,0.9786401607275035,1.0,0.45279526710510254
3,1,4,9,2880,0.9969366984861633,0.9783229353917733,0.9783609133671667,0.9783229353917733,1.0,0.507188081741333
4,1,4,10,3200,0.997585816218301,0.9803320291847308,0.9803741808925008,0.9803320291847308,1.0,0.5687754154205322
5,1,4,12,3840,0.9978726255905892,0.9807549962990377,0.9808162446069519,0.9807549962990377,1.0,0.6412520408630371
6,1,8,6,480,0.9925954102786617,0.9626731521624193,0.9629245803126493,0.9626731521624193,0.9853333333333333,0.09674215316772461
7,1,8,8,640,0.9946072220615179,0.9682774664269853,0.9684927475834487,0.9682774664269853,0.9951666666666666,0.11170315742492676
8,1,8,9,720,0.9939755568411919,0.9665855979697578,0.9669850251323597,0.9665855979697578,0.9973333333333333,0.13164639472961426
9,1,8,10,800,0.9950978208465915,0.969123400655599,0.9693355539773578,0.969123400655599,0.999,0.13264918327331543
10,1,8,12,960,0.9960464275383281,0.9717669451200169,0.9720643532304772,0.9717669451200169,1.0,0.17055583000183105
11,1,9,6,336,0.9861382701764534,0.9466004018187586,0.9474396448844664,0.9466004018187586,0.9661666666666666,0.06782007217407227
12,1,9,8,448,0.9901519622022947,0.9559056783335096,0.9564398355733251,0.9559056783335096,0.9811666666666666,0.0797891616821289
13,1,9,9,504,0.9901227943303441,0.9529449085333616,0.9538078220716648,0.9529449085333616,0.9846666666666667,0.07878994941711426
14,1,9,10,560,0.9913835695689904,0.9550597441048958,0.9559971075523989,0.9550597441048958,0.9895,0.1047208309173584
15,1,9,12,672,0.9925460900588178,0.9589721899122343,0.9595389094494039,0.9589721899122343,0.9936666666666667,0.1266648769378662
16,1,10,6,288,0.9887496866261691,0.9520989743047478,0.9529504982159311,0.9520989743047478,0.9628333333333333,0.055849552154541016
17,1,10,8,384,0.9928386365827789,0.9606640583694618,0.9613586690666375,0.9606640583694618,0.9803333333333333,0.06083822250366211
18,1,10,9,432,0.9929003471217818,0.9618272179338057,0.9624584182298418,0.9618272179338057,0.9848333333333333,0.07480120658874512
19,1,10,10,480,0.9939745444026612,0.9638363117267632,0.9644614792065108,0.9638363117267632,0.988,0.09873485565185547
20,1,10,12,576,0.9945962298717577,0.964682245955377,0.9653481584362374,0.964682245955377,0.9931666666666666,0.10372328758239746
21,1,14,6,120,0.9628712756725484,0.9109654224384054,0.9126557035265916,0.9109654224384054,0.9216666666666666,0.01795363426208496
22,1,14,8,160,0.9821405843216662,0.9402558951041556,0.9422369168539209,0.9402558951041556,0.9505,0.024934053421020508
23,1,14,9,180,0.9829489923826054,0.943110923125727,0.9445824864673071,0.943110923125727,0.9548333333333333,0.029920339584350586
24,1,14,10,200,0.9865222254363128,0.9485037538331395,0.9494757738786801,0.9485037538331395,0.9598333333333333,0.038897037506103516
25,1,14,12,240,0.9890517307877736,0.9535793592048218,0.9545666077163858,0.9535793592048218,0.9683333333333334,0.03989362716674805
26,2,4,6,6840,0.9988652974640826,0.9864650523421804,0.9864909646074859,0.9864650523421804,1.0,1.15785551071167
27,2,4,8,9120,0.9991630990261305,0.9874167283493709,0.9874545620531219,0.9874167283493709,1.0,1.5269191265106201
28,2,4,9,10260,0.9990763185806576,0.986253568785027,0.9862762825246874,0.986253568785027,1.0,1.7608318328857422
29,2,4,10,11400,0.9991197088033941,0.9878396954636777,0.9878852351572501,0.9878396954636777,1.0,2.0077590942382812
30,2,4,12,13680,0.999240622890753,0.9886856296922915,0.9887432882890973,0.9886856296922915,1.0,2.6633996963500977
31,2,8,6,1512,0.9978415292642947,0.9817066723062282,0.981758541593081,0.9817066723062282,0.9998333333333334,0.2653312683105469
32,2,8,8,2016,0.9984693857872915,0.9830813154277255,0.9831485433612396,0.9830813154277255,1.0,0.38896679878234863
33,2,8,9,2268,0.9982997300163918,0.981389446970498,0.981503822758,0.981389446970498,1.0,0.4168887138366699
34,2,8,10,2520,0.998704464371806,0.9836100243206091,0.9836585987315944,0.9836100243206091,1.0,0.48592281341552734
35,2,8,12,3024,0.99875171150323,0.9830813154277255,0.9831841639173813,0.9830813154277255,1.0,0.5514914989471436
36,2,9,6,1008,0.9955485006267476,0.9698635931056361,0.9702638350224262,0.9698635931056361,0.9916666666666667,0.18151521682739258
37,2,9,8,1344,0.9966997878700222,0.9743047478058581,0.9745694121090342,0.9743047478058581,0.9963333333333333,0.2682454586029053
38,2,9,9,1512,0.9964959020345194,0.9711324944485566,0.9715257171504937,0.9711324944485566,0.9968333333333333,0.2872331142425537
39,2,9,10,1680,0.9967536881689326,0.9737760389129745,0.974027868085725,0.9737760389129745,0.9983333333333333,0.30715179443359375
40,2,9,12,2016,0.9971110789702055,0.9753621655916253,0.9755556615981397,0.9753621655916253,0.9995,0.35701942443847656
41,2,10,6,840,0.9979295149937325,0.979909062070424,0.980134266888506,0.979909062070424,0.9933333333333333,0.15558338165283203
42,2,10,8,1120,0.9982821328705043,0.9801205456275774,0.9803265153848795,0.9801205456275774,0.9961666666666666,0.19946932792663574
43,2,10,9,1260,0.9982577379230546,0.9811779634133446,0.9813795678162585,0.9811779634133446,0.9985,0.2163853645324707
44,2,10,10,1400,0.9983895959888149,0.981389446970498,0.9816082252202116,0.981389446970498,0.9986666666666667,0.2717902660369873
45,2,10,12,1680,0.99850274804744,0.9804377709633076,0.9807249446893028,0.9804377709633076,0.9995,0.31213879585266113
46,2,14,6,288,0.9893096615562627,0.9520989743047478,0.9530418460891628,0.9520989743047478,0.9641666666666666,0.05083513259887695
47,2,14,8,384,0.9939243081670043,0.9614042508194988,0.962271680045706,0.9614042508194988,0.9738333333333333,0.08377814292907715
48,2,14,9,432,0.9945278179539099,0.9635190863910331,0.9643517995852516,0.9635190863910331,0.975,0.07878899574279785
49,2,14,10,480,0.9949823546427539,0.9656339219625674,0.9663818562020496,0.9656339219625674,0.978,0.09973406791687012
50,2,14,12,576,0.9951005688940313,0.9657396637411442,0.966495113246053,0.9657396637411442,0.9805,0.10471987724304199
51,3,4,6,13608,0.999122456850834,0.9882626625779846,0.9882952637030732,0.9882626625779846,1.0,2.4000978469848633
52,3,4,8,18144,0.9993468325137403,0.9890028550280215,0.9890257122819803,0.9890028550280215,1.0,3.1970059871673584
53,3,4,9,20412,0.9992762510847556,0.9895315639209051,0.9895492572636164,0.9895315639209051,1.0,3.6228621006011963
54,3,4,10,22680,0.9992769742551344,0.9890028550280215,0.9890483921872324,0.9890028550280215,1.0,4.3346922397613525
55,3,4,12,27216,0.999454633111561,0.989954531035212,0.9899921225266402,0.989954531035212,1.0,5.6520771980285645
56,3,8,6,2592,0.9978110596856619,0.9812837051919213,0.9813754674706995,0.9812837051919213,0.9995,0.5255951881408691
57,3,8,8,3456,0.9983221000867805,0.9831870572063022,0.9833063583383862,0.9831870572063022,1.0,0.6742236614227295
58,3,8,9,3888,0.998231703789413,0.9808607380776144,0.9809801411128778,0.9808607380776144,1.0,0.8557095527648926
59,3,8,10,4320,0.9985,0.9829755736491488,0.9830955290752584,0.9829755736491488,1.0,0.8946056365966797
60,3,8,12,5184,0.998403095169222,0.9814951887490747,0.981634317497228,0.9814951887490747,1.0,0.9933161735534668
61,3,9,6,1620,0.9954340468614407,0.9685946917627154,0.9691650900757489,0.9685946917627154,0.9893333333333333,0.2952117919921875
62,3,9,8,2160,0.9967619805226112,0.9743047478058581,0.9747047352745126,0.9743047478058581,0.994,0.4029247760772705
63,3,9,9,2430,0.9968021405843217,0.9733530717986677,0.9736814397152305,0.9733530717986677,0.995,0.4318532943725586
64,3,9,10,2700,0.9967833863658278,0.9732473300200909,0.9736410293371484,0.9732473300200909,0.9968333333333333,0.46781229972839355
65,3,9,12,3240,0.9968233535821038,0.973987522470128,0.9742905797219923,0.973987522470128,0.9973333333333333,0.5779626369476318
66,3,10,6,1296,0.9982609680840806,0.979168869620387,0.9794214435056786,0.979168869620387,0.9916666666666667,0.2223820686340332
67,3,10,8,1728,0.9984437855558769,0.9801205456275774,0.9803176261836919,0.9801205456275774,0.995,0.3181498050689697
68,3,10,9,1944,0.9986383665991707,0.9811779634133446,0.981329616128511,0.9811779634133446,0.996,0.3979346752166748
69,3,10,10,2160,0.9985320605534664,0.9808607380776144,0.9810336049707603,0.9808607380776144,0.9976666666666667,0.42386341094970703
70,3,10,12,2592,0.9983884389162085,0.9801205456275774,0.9803542599173947,0.9801205456275774,0.9986666666666667,0.4637575149536133
71,3,14,6,324,0.9894157747565328,0.9494554298403299,0.9507324366865977,0.9494554298403299,0.9616666666666667,0.053861141204833984
72,3,14,8,432,0.9935983993828945,0.9624616686052659,0.9632680339953097,0.9624616686052659,0.9681666666666666,0.07879090309143066
73,3,14,9,486,0.993892922572558,0.9614042508194988,0.962253919773867,0.9614042508194988,0.9731666666666666,0.08876323699951172
74,3,14,10,540,0.9944838974062289,0.9645765041768003,0.9654358581612104,0.9645765041768003,0.973,0.10172843933105469
75,3,14,12,648,0.9946989200655674,0.9634133446124564,0.9643641815369064,0.9634133446124564,0.9756666666666667,0.11768770217895508
76,4,4,6,21216,0.9990349532349821,0.9874167283493709,0.9874722773056661,0.9874167283493709,1.0,4.0514137744903564
77,4,4,8,28288,0.9992957766849869,0.9881569207994079,0.9882040693584857,0.9881569207994079,1.0,5.288957118988037
78,4,4,9,31824,0.9992314627326198,0.9887913714708682,0.9888250598510957,0.9887913714708682,1.0,6.164092540740967
79,4,4,10,35360,0.9992683926333044,0.9885798879137148,0.988626230772859,0.9885798879137148,1.0,6.781418085098267
80,4,4,12,42432,0.9994166425609874,0.9878396954636777,0.9879321472273579,0.9878396954636777,1.0,8.167469263076782
