Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
1,1,4,6,1920,0.996011811782856,0.9744104895844348,0.9744721342933945,0.9744104895844348,1.0,0.3827939033508301,3350,5865,135,107
2,1,4,8,2560,0.9973288978883427,0.9786401607275035,0.9786800290836405,0.9786401607275035,1.0,0.4388103485107422,3367,5888,112,90
3,1,4,9,2880,0.9969366984861633,0.9783229353917733,0.9783609133671667,0.9783229353917733,1.0,0.5224108695983887,3365,5887,113,92
4,1,4,10,3200,0.997585816218301,0.9803320291847308,0.9803741808925008,0.9803320291847308,1.0,0.5739083290100098,3376,5895,105,81
5,1,4,12,3840,0.9978726255905892,0.9807549962990377,0.9808162446069519,0.9807549962990377,1.0,0.6716475486755371,3382,5893,107,75
6,1,5,6,1152,0.9937323787484331,0.9640477952839167,0.9644867388224388,0.9640477952839167,1.0,0.233720064163208,3337,5780,220,120
7,1,5,8,1536,0.9949456657988622,0.9711324944485566,0.9713608584443192,0.9711324944485566,1.0,0.30717921257019043,3355,5829,171,102
8,1,5,9,1728,0.9954213672741297,0.9718726868985936,0.9721535543827201,0.9718726868985936,1.0,0.31655359268188477,3364,5827,173,93
9,1,5,10,1920,0.9960280590107028,0.9731415882415142,0.9733299553437682,0.9731415882415142,1.0,0.39330267906188965,3361,5842,158,96
10,1,5,12,2304,0.9964248384919487,0.9753621655916253,0.975538286742773,0.9753621655916253,1.0,0.4448065757751465,3371,5853,147,86
11,1,6,6,780,0.9944371805997493,0.9670085650840647,0.9671912005572226,0.9670085650840647,0.9995,0.14054512977600098,3329,5816,184,128
12,1,6,8,1040,0.9961969433998651,0.9727186211272073,0.972858375721963,0.9727186211272073,1.0,0.2042255401611328,3353,5846,154,104
13,1,6,9,1170,0.9961359078198824,0.9709210108914031,0.9711406034758467,0.9709210108914031,1.0,0.2224874496459961,3353,5829,171,104
14,1,6,10,1300,0.9967898948992383,0.973987522470128,0.9741159709222421,0.973987522470128,1.0,0.27500438690185547,3358,5853,147,99
15,1,6,12,1560,0.9973218108186289,0.9768425504916993,0.9769665757778362,0.9768425504916993,1.0,0.3784327507019043,3372,5866,134,85
16,1,7,6,594,0.9920294089287437,0.9628846357195728,0.9632848466167808,0.9628846357195728,0.9943333333333333,0.141768217086792,3328,5778,222,129
17,1,7,8,792,0.9935468614405554,0.9633076028338796,0.9636448500008882,0.9633076028338796,0.9995,0.17299246788024902,3325,5785,215,132
18,1,7,9,891,0.9930649889113875,0.9614042508194988,0.961812199059856,0.9614042508194988,0.9998333333333334,0.19782757759094238,3321,5771,229,136
19,1,7,10,990,0.9942451547584611,0.9660568890768743,0.966256457936381,0.9660568890768743,1.0,0.23951935768127441,3326,5810,190,131
20,1,7,12,1188,0.9958982258220037,0.9706037855556731,0.9708591270425728,0.9706037855556731,1.0,0.23429083824157715,3355,5824,176,102
21,1,8,6,480,0.9925954102786617,0.9626731521624193,0.9629245803126493,0.9626731521624193,0.9853333333333333,0.09411478042602539,3314,5790,210,143
22,1,8,8,640,0.9946072220615179,0.9682774664269853,0.9684927475834487,0.9682774664269853,0.9951666666666666,0.1186826229095459,3339,5818,182,118
23,1,8,9,720,0.9939755568411919,0.9665855979697578,0.9669850251323597,0.9665855979697578,0.9973333333333333,0.11473345756530762,3347,5794,206,110
24,1,8,10,800,0.9950978208465915,0.969123400655599,0.9693355539773578,0.969123400655599,0.999,0.15658187866210938,3343,5822,178,114
25,1,8,12,960,0.9960464275383281,0.9717669451200169,0.9720643532304772,0.9717669451200169,1.0,0.3406999111175537,3365,5825,175,92
26,1,9,6,336,0.9861382701764534,0.9466004018187586,0.9474396448844664,0.9466004018187586,0.9661666666666666,0.07679390907287598,3273,5679,321,184
