Error Type,Image,Error Occurrences
FP,Individual_Component\test\test_negative\00000002\item_00002120.pnm,178
FN,Individual_Component\test\test_positive\00000001\item_00001149.pnm,56
FN,Individual_Component\test\test_positive\00000002\item_00002769.pnm,252
FN,Individual_Component\test\test_positive\00000001\item_00001790.pnm,218
FN,Individual_Component\test\test_positive\00000000\item_00000483.pnm,44
FP,Individual_Component\test\test_negative\00000002\item_00002689.pnm,28
FN,Individual_Component\test\test_positive\00000001\item_00001199.pnm,49
FP,Individual_Component\test\test_negative\00000000\item_00000459.pnm,26
FP,Individual_Component\test\test_negative\00000004\item_00004687.pnm,87
FN,Individual_Component\test\test_positive\00000001\item_00001807.pnm,77
FN,Individual_Component\test\test_positive\00000001\item_00001593.pnm,9
FP,Individual_Component\test\test_negative\00000003\item_00003564.pnm,33
FP,Individual_Component\test\test_negative\00000005\item_00005238.pnm,19
FP,Individual_Component\test\test_negative\00000001\item_00001173.pnm,54
FN,Individual_Component\test\test_positive\00000000\item_00000747.pnm,59
FN,Individual_Component\test\test_positive\00000002\item_00002664.pnm,171
FN,Individual_Component\test\test_positive\00000003\item_00003297.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005418.pnm,77
FP,Individual_Component\test\test_negative\00000003\item_00003249.pnm,114
FP,Individual_Component\test\test_negative\00000003\item_00003287.pnm,31
FP,Individual_Component\test\test_negative\00000003\item_00003706.pnm,22
FN,Individual_Component\test\test_positive\00000001\item_00001791.pnm,147
FP,Individual_Component\test\test_negative\00000000\item_00000086.pnm,91
FP,Individual_Component\test\test_negative\00000002\item_00002818.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000353.pnm,65
FP,Individual_Component\test\test_negative\00000001\item_00001337.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002356.pnm,12
FP,Individual_Component\test\test_negative\00000003\item_00003555.pnm,60
FN,Individual_Component\test\test_positive\00000001\item_00001472.pnm,230
FP,Individual_Component\test\test_negative\00000001\item_00001565.pnm,33
FP,Individual_Component\test\test_negative\00000005\item_00005182.pnm,125
FP,Individual_Component\test\test_negative\00000001\item_00001181.pnm,44
FN,Individual_Component\test\test_positive\00000002\item_00002883.pnm,155
FP,Individual_Component\test\test_negative\00000004\item_00004358.pnm,139
FN,Individual_Component\test\test_positive\00000000\item_00000958.pnm,115
FP,Individual_Component\test\test_negative\00000002\item_00002268.pnm,241
FN,Individual_Component\test\test_positive\00000002\item_00002127.pnm,20
FN,Individual_Component\test\test_positive\00000000\item_00000023.pnm,119
FP,Individual_Component\test\test_negative\00000001\item_00001252.pnm,178
FP,Individual_Component\test\test_negative\00000005\item_00005183.pnm,20
FP,Individual_Component\test\test_negative\00000004\item_00004299.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003419.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001224.pnm,55
FP,Individual_Component\test\test_negative\00000003\item_00003333.pnm,89
FP,Individual_Component\test\test_negative\00000004\item_00004290.pnm,170
FP,Individual_Component\test\test_negative\00000001\item_00001729.pnm,12
FN,Individual_Component\test\test_positive\00000001\item_00001145.pnm,17
FN,Individual_Component\test\test_positive\00000001\item_00001793.pnm,57
FP,Individual_Component\test\test_negative\00000003\item_00003559.pnm,98
FP,Individual_Component\test\test_negative\00000002\item_00002245.pnm,43
FN,Individual_Component\test\test_positive\00000000\item_00000037.pnm,57
FP,Individual_Component\test\test_negative\00000000\item_00000540.pnm,20
FP,Individual_Component\test\test_negative\00000004\item_00004176.pnm,184
FP,Individual_Component\test\test_negative\00000000\item_00000135.pnm,230
FP,Individual_Component\test\test_negative\00000002\item_00002072.pnm,16
FP,Individual_Component\test\test_negative\00000003\item_00003165.pnm,92
FN,Individual_Component\test\test_positive\00000001\item_00001287.pnm,171
FP,Individual_Component\test\test_negative\00000004\item_00004744.pnm,64
FN,Individual_Component\test\test_positive\00000000\item_00000810.pnm,17
FP,Individual_Component\test\test_negative\00000000\item_00000423.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005765.pnm,32
FP,Individual_Component\test\test_negative\00000002\item_00002612.pnm,138
FP,Individual_Component\test\test_negative\00000004\item_00004372.pnm,66
FP,Individual_Component\test\test_negative\00000002\item_00002564.pnm,54
FP,Individual_Component\test\test_negative\00000004\item_00004073.pnm,20
FN,Individual_Component\test\test_positive\00000003\item_00003031.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001361.pnm,111
FP,Individual_Component\test\test_negative\00000004\item_00004095.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002729.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001713.pnm,128
FP,Individual_Component\test\test_negative\00000005\item_00005896.pnm,76
FP,Individual_Component\test\test_negative\00000000\item_00000448.pnm,132
FP,Individual_Component\test\test_negative\00000005\item_00005225.pnm,74
FP,Individual_Component\test\test_negative\00000002\item_00002880.pnm,17
FN,Individual_Component\test\test_positive\00000003\item_00003204.pnm,36
FP,Individual_Component\test\test_negative\00000000\item_00000311.pnm,29
FP,Individual_Component\test\test_negative\00000001\item_00001687.pnm,29
FP,Individual_Component\test\test_negative\00000001\item_00001075.pnm,90
FP,Individual_Component\test\test_negative\00000001\item_00001893.pnm,227
FP,Individual_Component\test\test_negative\00000002\item_00002563.pnm,39
FN,Individual_Component\test\test_positive\00000003\item_00003106.pnm,24
FN,Individual_Component\test\test_positive\00000002\item_00002609.pnm,20
FP,Individual_Component\test\test_negative\00000004\item_00004132.pnm,69
FP,Individual_Component\test\test_negative\00000001\item_00001899.pnm,131
FP,Individual_Component\test\test_negative\00000005\item_00005604.pnm,207
FN,Individual_Component\test\test_positive\00000002\item_00002189.pnm,80
FN,Individual_Component\test\test_positive\00000002\item_00002319.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000285.pnm,84
FN,Individual_Component\test\test_positive\00000000\item_00000079.pnm,110
FP,Individual_Component\test\test_negative\00000001\item_00001048.pnm,57
FP,Individual_Component\test\test_negative\00000004\item_00004967.pnm,85
FP,Individual_Component\test\test_negative\00000003\item_00003322.pnm,60
FP,Individual_Component\test\test_negative\00000005\item_00005647.pnm,252
FP,Individual_Component\test\test_negative\00000000\item_00000330.pnm,9
FP,Individual_Component\test\test_negative\00000005\item_00005111.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004046.pnm,58
FP,Individual_Component\test\test_negative\00000003\item_00003721.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000642.pnm,54
FP,Individual_Component\test\test_negative\00000001\item_00001575.pnm,48
FN,Individual_Component\test\test_positive\00000001\item_00001039.pnm,172
FN,Individual_Component\test\test_positive\00000001\item_00001454.pnm,92
FP,Individual_Component\test\test_negative\00000005\item_00005085.pnm,75
