Cells per Block,Pixels per Cell,Orientations,HOG Processing Time (s),Training Time (s),Training Pickle Size (bytes)
1,4,6,42.006,6.046,79843
1,4,8,43.547,4.787,105443
1,4,9,45.06,5.266,118243
1,4,10,43.065,4.234,131043
1,4,12,230.954,4.266,156643
1,8,6,18.085,3.204,22243
1,8,8,17.925,3.891,28643
1,8,9,19.775,5.519,31843
1,8,10,17.231,4.731,35043
1,8,12,23.999,6.486,41443
1,9,6,19.39,4.862,16483
1,9,8,16.749,2.807,20963
1,9,9,15.147,3.503,23203
1,9,10,15.856,3.439,25443
1,9,12,16.047,4.122,29923
1,10,6,15.162,1.762,14563
1,10,8,14.056,2.463,18403
1,10,9,17.581,2.55,20323
1,10,10,15.565,2.713,22243
1,10,12,16.06,3.206,26083
1,14,6,12.57,0.776,7838
1,14,8,11.588,0.905,9438
1,14,9,11.668,1.005,10238
1,14,10,12.077,1.001,11038
1,14,12,12.214,1.059,12638
2,4,6,49.384,13.243,276643
2,4,8,50.971,13.364,367843
2,4,9,50.33,13.778,413443
2,4,10,51.359,15.488,459043
2,4,12,54.58,14.956,550243
2,8,6,17.556,7.99,63523
2,8,8,17.835,9.138,83683
2,8,9,17.439,10.505,93763
2,8,10,19.214,8.56,103843
2,8,12,18.839,8.102,124003
2,9,6,14.176,5.152,43363
2,9,8,14.503,6.543,56803
2,9,9,14.594,7.96,63523
2,9,10,15.778,11.415,70243
2,9,12,13.068,10.115,83683
2,10,6,13.753,3.329,36643
2,10,8,12.643,3.781,47843
2,10,9,12.365,4.578,53443
2,10,10,12.478,5.505,59043
2,10,12,13.369,7.319,70243
2,14,6,10.341,1.186,14563
2,14,8,10.28,0.99,18403
2,14,9,11.884,1.381,20323
2,14,10,12.171,1.388,22243
2,14,12,11.645,1.985,26083
3,4,6,43.277,20.998,547363
3,4,8,42.615,22.285,728803
3,4,9,43.448,24.739,819523
3,4,10,42.001,22.154,910243
3,4,12,43.49,25.982,1091683
3,8,6,14.111,10.772,106723
3,8,8,14.536,13.05,141283
3,8,9,14.793,12.571,158563
3,8,10,14.813,13.966,175843
3,8,12,16.075,14.076,210403
3,9,6,11.321,7.228,67843
3,9,8,11.452,9.049,89443
3,9,9,12.092,11.177,100243
3,9,10,12.143,12.364,111043
3,9,12,12.336,13.537,132643
3,10,6,11.56,4.624,54883
3,10,8,12.382,6.113,72163
3,10,9,11.798,7.136,80803
3,10,10,11.586,8.646,89443
3,10,12,11.841,10.218,106723
3,14,6,8.523,0.762,16003
3,14,8,8.967,0.918,20323
3,14,9,9.262,1.096,22483
3,14,10,9.361,1.215,24643
3,14,12,9.664,1.542,28963
4,4,6,40.475,27.083,851683
4,4,8,38.381,31.164,1134563
4,4,9,37.854,32.806,1276003
4,4,10,38.315,36.909,1417443
4,4,12,40.675,39.647,1700323
4,8,6,13.13,14.72,137443
4,8,8,13.974,17.004,182243
4,8,9,20.194,20.674,204643
4,8,10,18.257,22.792,227043
4,8,12,19.106,20.239,271843
4,9,6,11.914,8.725,79843
4,9,8,13.106,13.386,105443
4,9,9,12.599,14.667,118243
4,9,10,13.847,14.853,131043
4,9,12,13.352,15.768,156643
4,10,6,12.095,5.524,60643
4,10,8,11.84,7.814,79843
4,10,9,12.54,8.646,89443
4,10,10,12.889,8.132,99043
4,10,12,12.855,9.78,118243
4,14,6,9.776,0.527,10718
4,14,8,9.698,0.682,13283
4,14,9,9.132,0.71,14563
4,14,10,9.494,0.685,15843
4,14,12,9.772,0.864,18455
1,5,6,31.435,6.488,49123
1,5,8,30.252,5.031,64483
1,5,9,29.074,5.764,72163
1,5,10,30.097,3.726,79843
1,5,12,29.193,3.235,95203
1,6,6,23.713,4.767,34243
1,6,8,23.846,6.516,44643
1,6,9,23.209,5.411,49843
1,6,10,23.476,5.322,55043
1,6,12,23.926,3.828,65443
1,7,6,21.001,3.621,26803
1,7,8,18.96,4.279,34723
1,7,9,19.77,5.146,38683
1,7,10,19.8,5.685,42643
1,7,12,23.163,7.871,50563
2,5,6,28.505,9.611,161443
2,5,8,29.74,8.619,214243
2,5,9,28.597,8.309,240643
2,5,10,30.19,8.384,267043
2,5,12,32.125,8.737,319843
2,6,6,22.204,11.006,106723
2,6,8,22.37,7.739,141283
2,6,9,23.306,7.567,158563
2,6,10,23.04,8.035,175843
2,6,12,24.038,9.037,210403
2,7,6,17.849,9.012,79843
2,7,8,19.005,7.494,105443
2,7,9,20.222,7.378,118243
2,7,10,18.905,7.505,131043
2,7,12,20.993,6.466,156643
3,5,6,26.079,13.278,305443
3,5,8,26.334,13.74,406243
3,5,9,28.053,13.762,456643
3,5,10,27.437,14.287,507043
3,5,12,26.482,14.815,607843
3,6,6,20.831,13.956,193123
3,6,8,23.357,12.467,256483
3,6,9,20.835,12.651,288163
3,6,10,20.778,14.273,319843
3,6,12,21.324,13.534,383203
3,7,6,16.148,13.678,139123
3,7,8,16.716,10.741,184483
3,7,9,20.59,12.369,207163
3,7,10,18.648,11.051,229843
3,7,12,17.762,16.719,275203
4,5,6,25.039,21.741,452323
4,5,8,26.006,21.233,602083
4,5,9,25.506,19.539,676963
4,5,10,24.71,20.722,751843
4,5,12,25.074,23.727,901603
4,6,6,18.495,20.385,271843
4,6,8,19.221,20.505,361443
4,6,9,18.727,20.408,406243
4,6,10,18.341,17.507,451043
4,6,12,19.061,20.727,540643
4,7,6,15.222,22.218,187363
4,7,8,15.558,18.266,248803
4,7,9,16.994,18.504,279523
4,7,10,15.973,20.423,310243
4,7,12,17.284,19.319,371683
